GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000001405.29	31457668	GCF_000001405.40	31649238	
GCA_003339765.3	8740558	GCF_003339765.1	8775378	
GCA_012559485.3	30152968	GCF_012559485.2	30234828	
GCA_011100555.2	26492428	GCF_011100555.1	41093638	
GCA_028858775.1	41093778	GCF_028858775.1	41498728	
GCA_008728515.1	14216798	GCF_008728515.1	14362028	
GCA_008122165.1	13447828	GCF_008122165.1	13973658	
GCA_007565055.1	12697768	GCF_007565055.1	13709688	
GCA_028885655.1	41103458	GCF_028885655.1	41470258	
GCA_028885625.1	41102998	GCF_028885625.1	41494988	
GCA_013052645.1	19606358	GCF_013052645.1	19638978	
GCA_006542625.1	11597548	GCF_006542625.1	13631498	
GCA_027406575.1	39156468	GCF_027406575.1	39893818	
GCA_020740605.1	29951878	GCF_020740605.2	30504118	
GCA_000165445.3	4096748	GCF_000165445.2	4121788	
GCA_024542745.1	35125148	GCF_024542745.1	35300378	
GCA_003255815.1	6694698	GCF_003255815.1	6722658	
GCA_002776525.5	40779978	GCF_002776525.5	40779998	
