input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000002295.2	GCF_000002295.2	MonDom5	13616	Monodelphis domestica	NA	latest	Chromosome	16	5	100.00	156.25
GCF_000165445.2	GCF_000165445.2	Mmur_3.0	30608	Microcebus murinus	NA	latest	Chromosome	16	1	100.00	268.75
GCF_000002285.5	GCF_000002285.5	Dog10K_Boxer_Tasha	9615	Canis lupus familiaris	breed=boxer	latest	Chromosome	16	4	100.00	400.00
GCF_000003025.6	GCF_000003025.6	Sscrofa11.1	9823	Sus scrofa	breed=Duroc	latest	Chromosome	16	1	100.00	275.00
GCF_000247795.1	GCF_000247795.1	Bos_indicus_1.0	9915	Bos indicus	breed=Nelore	latest	Chromosome	16	6	100.00	212.50
GCF_000317375.1	GCF_000317375.1	MicOch1.0	79684	Microtus ochrogaster	NA	latest	Chromosome	16	4	100.00	175.00
GCF_001704415.2	GCF_001704415.2	ARS1.2	9925	Capra hircus	breed=San Clemente	latest	Chromosome	16	2	100.00	281.25
GCF_000803125.2	GCF_000803125.2	CamDro3	9838	Camelus dromedarius	breed=African	latest	Chromosome	16	4	100.00	206.25
GCF_002007445.2	GCF_002007445.2	ASM200744v3	9646	Ailuropoda melanoleuca	NA	latest	Chromosome	16	1	100.00	331.25
GCF_002776525.5	GCF_002776525.5	ASM277652v5	591936	Piliocolobus tephrosceles	NA	latest	Chromosome	16	3	100.00	325.00
GCF_002201575.2	GCF_002201575.2	ASM220157v2	29088	Neomonachus schauinslandi	NA	latest	Chromosome	16	1	100.00	375.00
GCF_002263795.2	GCF_002263795.2	ARS-UCD1.3	9913	Bos taurus	breed=Hereford	latest	Chromosome	16	5	100.00	243.75
GCF_002837175.2	GCF_002837175.2	ASM283717v2	9755	Physeter catodon	NA	latest	Chromosome	16	4	100.00	250.00
GCF_002863925.1	GCF_002863925.1	EquCab3.0	9796	Equus caballus	breed=thoroughbred	latest	Chromosome	16	6	100.00	187.50
GCF_003254725.2	GCF_003254725.2	ASM325472v2	286419	Canis lupus dingo	NA	latest	Chromosome	16	2	100.00	587.50
GCF_003255815.1	GCF_003255815.1	Tgel_1.0	9565	Theropithecus gelada	NA	latest	Chromosome	16	0	100.00	606.25
GCF_002880755.1	GCF_002880755.1	Clint_PTRv2	9598	Pan troglodytes	NA	latest	Chromosome	16	3	100.00	375.00
GCF_003339765.1	GCF_003339765.1	Mmul_10	9544	Macaca mulatta	NA	latest	Chromosome	16	1	100.00	425.00
GCF_003369695.1	GCF_003369695.1	UOA_Brahman_1	30522	Bos indicus x Bos taurus	breed=Angus x Brahman F1 hybrid	latest	Chromosome	16	6	100.00	218.75
GCF_003704035.1	GCF_003704035.1	HU_Pman_2.1.3	230844	Peromyscus maniculatus bairdii	NA	latest	Chromosome	16	0	100.00	268.75
GCF_004115215.2	GCF_004115215.2	mOrnAna1.pri.v4	9258	Ornithorhynchus anatinus	NA	latest	Chromosome	16	8	100.00	106.25
GCF_004115265.2	GCF_004115265.2	mRhiFer1_v1.p	59479	Rhinolophus ferrumequinum	NA	latest	Chromosome	16	2	100.00	343.75
GCF_004126475.2	GCF_004126475.2	mPhyDis1.pri.v3	89673	Phyllostomus discolor	NA	latest	Chromosome	16	0	100.00	343.75
GCF_006229205.1	GCF_006229205.1	meerkat_22Aug2017_6uvM2_HiC	37032	Suricata suricatta	NA	latest	Chromosome	16	6	100.00	193.75
