assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_000002515.2	GCF_000002515.2_Eukaryota_Ascomycota_Saccharomycetes_Kluyveromyces_lactis_NRRL_Y-1140	NCBI	28985	15	3	93.75	87.50	2	No	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis
GCF_000002725.2	GCF_000002725.2_Eukaryota_Euglenozoa_Kinetoplastea_Leishmania_major_Friedlin	NCBI	347515	15	0	93.75	162.50	0	No	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania major
GCF_000002765.4	GCF_000002765.4_Eukaryota_Apicomplexa_Aconoidasida_Plasmodium_falciparum	NCBI	36329	16	4	100.00	118.75	3	No	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum
GCF_000005825.2	GCF_000005825.2_Bacteria_Bacillota_Bacilli_Alkalihalophilus_pseudofirmus_OF4	NCBI	398511	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalophilus	Alkalihalophilus pseudofirmus
GCF_000006605.1	GCF_000006605.1_Bacteria_Actinomycetota_Actinomycetes_Corynebacterium_jeikeium_K411_=_NCTC_11915	NCBI	306537	14	14	87.50	0.00	14	Yes	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium
GCF_000006685.1	GCF_000006685.1_Bacteria_Chlamydiota_Chlamydiia_Chlamydia_muridarum_Nigg	NCBI	243161	14	14	87.50	0.00	14	Yes	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia muridarum
GCF_000006725.1	GCF_000006725.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Xylella_fastidiosa_9a5c	NCBI	160492	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_000006805.1	GCF_000006805.1_Archaea_Euryarchaeota_Halobacteria_Halobacterium_salinarum_NRC-1_ATCC_700922	NCBI	64091	15	14	93.75	6.25	7	Yes	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
GCF_000007025.1	GCF_000007025.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Rickettsia_conorii_Malish_7	NCBI	272944	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia conorii
GCF_000007085.1	GCF_000007085.1_Bacteria_Bacillota_Clostridia_Caldanaerobacter_subterraneus_MB4	NCBI	273068	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
GCF_000007125.1	GCF_000007125.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Brucella_melitensis_16M	NCBI	224914	13	13	81.25	0.00	13	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella melitensis
GCF_000007305.1	GCF_000007305.1_Archaea_Euryarchaeota_Thermococci_Pyrococcus_furiosus_DSM_3638	NCBI	186497	15	15	93.75	0.00	9	Yes	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
GCF_000007345.1	GCF_000007345.1_Archaea_Euryarchaeota_Methanomicrobia_Methanosarcina_acetivorans_C2A	NCBI	188937	15	15	93.75	0.00	8	Yes	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
GCF_000007365.1	GCF_000007365.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Buchnera_aphidicola_Sg_ex_Schizaphis_graminum	NCBI	198804	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000007485.1	GCF_000007485.1_Bacteria_Actinomycetota_Actinomycetes_Tropheryma_whipplei_Twist	NCBI	203267	14	14	87.50	0.00	14	Yes	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Tropherymataceae	Tropheryma	Tropheryma whipplei
GCF_000007605.1	GCF_000007605.1_Bacteria_Chlamydiota_Chlamydiia_Chlamydia_caviae	NCBI	227941	14	14	87.50	0.00	14	Yes	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia caviae
GCF_000007625.1	GCF_000007625.1_Bacteria_Bacillota_Clostridia_Clostridium_tetani_Massachusetts_substr._E88	NCBI	212717	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tetani
GCF_000007705.1	GCF_000007705.1_Bacteria_Pseudomonadota_Betaproteobacteria_Chromobacterium_violaceum_ATCC_12472	NCBI	243365	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
GCF_000007725.1	GCF_000007725.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Buchnera_aphidicola_Bp_Baizongia_pistaciae	NCBI	224915	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000007745.1	GCF_000007745.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Mannheimia_succiniciproducens_MBEL55E	NCBI	221988	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Basfia	[Mannheimia] succiniciproducens
GCF_000007865.1	GCF_000007865.1_Bacteria_Actinomycetota_Actinomycetes_Mycobacterium_avium_K-10	NCBI	262316	14	14	87.50	0.00	12	Yes	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
GCF_000007905.1	GCF_000007905.1_Bacteria_Campylobacterota_Epsilonproteobacteria_Helicobacter_hepaticus_ATCC_51449	NCBI	235279	13	13	81.25	0.00	12	Yes	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter hepaticus
GCF_000007945.1	GCF_000007945.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Haemophilus_ducreyi_35000HP	NCBI	233412	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus] ducreyi
GCF_000008025.1	GCF_000008025.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Wolbachia_endosymbiont_of_Drosophila_melanogaster_wMel	NCBI	163164	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Drosophila melanogaster
GCF_000008045.1	GCF_000008045.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Rickettsia_typhi_Wilmington	NCBI	257363	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi
GCF_000008205.1	GCF_000008205.1_Bacteria_Mycoplasmatota_Mollicutes_Mesomycoplasma_hyopneumoniae_J	NCBI	262719	14	14	87.50	0.00	13	Yes	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mesomycoplasma	Mesomycoplasma hyopneumoniae
GCF_000008265.1	GCF_000008265.1_Archaea_Candidatus_Thermoplasmatota_Thermoplasmata_Picrophilus_torridus_DSM_9790	NCBI	263820	15	15	93.75	0.00	9	Yes	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus
GCF_000008325.1	GCF_000008325.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Methylococcus_capsulatus_Bath	NCBI	243233	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus
GCF_000008345.1	GCF_000008345.1_Bacteria_Actinomycetota_Actinomycetes_Cutibacterium_acnes_KPA171202	NCBI	267747	14	14	87.50	0.00	12	Yes	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
GCF_000008365.1	GCF_000008365.1_Bacteria_Mycoplasmatota_Mollicutes_Mesomycoplasma_mobile_163K	NCBI	267748	14	14	87.50	0.00	12	Yes	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mesomycoplasma	Mesomycoplasma mobile
GCF_000008385.1	GCF_000008385.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Wolbachia_endosymbiont_of_Brugia_malayi	NCBI	292805	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Brugia malayi
GCF_000008465.1	GCF_000008465.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Idiomarina_loihiensis_L2TR	NCBI	283942	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis
GCF_000008645.1	GCF_000008645.1_Archaea_Euryarchaeota_Methanobacteria_Methanothermobacter_thermautotrophicus_Delta_H	NCBI	187420	15	15	93.75	0.00	10	Yes	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus
GCF_000008665.1	GCF_000008665.1_Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobus_fulgidus_DSM_4304	NCBI	224325	15	15	93.75	0.00	9	Yes	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
GCF_000009125.1	GCF_000009125.1_Bacteria_Pseudomonadota_Betaproteobacteria_Ralstonia_solanacearum_GMI1000	NCBI	267608	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
GCF_000009145.1	GCF_000009145.1_Bacteria_Pseudomonadota_Betaproteobacteria_Nitrosomonas_europaea_ATCC_19718	NCBI	228410	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
GCF_000009365.1	GCF_000009365.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Alcanivorax_borkumensis_SK2	NCBI	393595	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis
GCF_000009545.1	GCF_000009545.1_Bacteria_Bacillota_Bacilli_Streptococcus_uberis_0140J	NCBI	218495	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
GCF_000009765.2	GCF_000009765.2_Bacteria_Actinomycetota_Actinomycetes_Streptomyces_avermitilis_MA-4680	NCBI	227882	14	14	87.50	0.00	14	Yes	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis
GCF_000009825.1	GCF_000009825.1_Bacteria_Bacillota_Bacilli_Alkalihalobacillus_clausii_KSM-K16	NCBI	66692	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus clausii
GCF_000009865.1	GCF_000009865.1_Bacteria_Bacillota_Bacilli_Staphylococcus_haemolyticus_JCSC1435	NCBI	279808	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
GCF_000009905.1	GCF_000009905.1_Bacteria_Bacillota_Clostridia_Symbiobacterium_thermophilum_IAM14863	NCBI	292459	13	13	81.25	0.00	13	Yes	Bacteria	Bacillota	Clostridia	Eubacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum
GCF_000009945.1	GCF_000009945.1_Bacteria_Chlamydiota_Chlamydiia_Chlamydia_felis_Fe_C-56	NCBI	264202	14	14	87.50	0.00	14	Yes	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia felis
GCF_000009965.1	GCF_000009965.1_Archaea_Euryarchaeota_Thermococci_Thermococcus_kodakarensis_KOD1	NCBI	69014	15	15	93.75	0.00	9	Yes	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis
GCF_000009985.1	GCF_000009985.1_Bacteria_Pseudomonadota_Alphaproteobacteria_Magnetospirillum_magneticum_AMB-1	NCBI	342108	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum
GCF_000010065.1	GCF_000010065.1_Bacteria_Cyanobacteriota_Cyanophyceae_Synechococcus_elongatus_PCC_6301	NCBI	269084	14	14	87.50	0.00	14	Yes	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
GCF_000010125.1	GCF_000010125.1_Bacteria_Bacillota_Bacilli_Staphylococcus_saprophyticus_ATCC_15305	NCBI	342451	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
GCF_000010145.1	GCF_000010145.1_Bacteria_Bacillota_Bacilli_Limosilactobacillus_fermentum_IFO_3956	NCBI	334390	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum
GCF_000010165.1	GCF_000010165.1_Bacteria_Bacillota_Bacilli_Brevibacillus_brevis_NBRC_100599	NCBI	358681	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
GCF_000010185.1	GCF_000010185.1_Bacteria_Bacillota_Tissierellia_Finegoldia_magna_ATCC_29328	NCBI	334413	14	14	87.50	0.00	14	Yes	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
GCF_000010285.1	GCF_000010285.1_Bacteria_Actinomycetota_Actinomycetes_Kocuria_rhizophila_DC2201	NCBI	378753	14	14	87.50	0.00	14	Yes	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila
GCF_000010305.1	GCF_000010305.1_Bacteria_Gemmatimonadota_Gemmatimonadetes_Gemmatimonas_aurantiaca_T-27	NCBI	379066	14	14	87.50	0.00	14	Yes	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas aurantiaca
GCF_000010405.1	GCF_000010405.1_Bacteria_Pseudomonadota_Gammaproteobacteria_Candidatus_Vesicomyosocius_okutanii_HA	NCBI	412965	14	14	87.50	0.00	14	Yes	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	Candidatus Vesicomyosocius	Candidatus Vesicomyosocius okutanii
GCF_000010425.1	GCF_000010425.1_Bacteria_Actinomycetota_Actinomycetes_Bifidobacterium_adolescentis_ATCC_15703	NCBI	367928	14	14	87.50	0.00	14	Yes	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
GCF_000010505.1	GCF_000010505.1_Bacteria_Bacteroidota_Bacteroidia_Porphyromonas_gingivalis_ATCC_33277	NCBI	431947	14	14	87.50	0.00	14	Yes	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
