assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_000002285.5	GCF_000002285.5_Eukaryota_Chordata_Mammalia_Canis_lupus	NCBI	9615	16	4	100.00	400.00	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
GCF_000002295.2	GCF_000002295.2_Eukaryota_Chordata_Mammalia_Monodelphis_domestica	NCBI	13616	16	5	100.00	156.25	4	Yes	Eukaryota	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	Monodelphis domestica
GCF_000003025.6	GCF_000003025.6_Eukaryota_Chordata_Mammalia_Sus_scrofa	NCBI	9823	16	1	100.00	275.00	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
GCF_000165445.2	GCF_000165445.2_Eukaryota_Chordata_Mammalia_Microcebus_murinus	NCBI	30608	16	1	100.00	268.75	1	No	Eukaryota	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	Microcebus murinus
GCF_000247795.1	GCF_000247795.1_Eukaryota_Chordata_Mammalia_Bos_indicus	NCBI	9915	16	6	100.00	212.50	6	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus
GCF_000317375.1	GCF_000317375.1_Eukaryota_Chordata_Mammalia_Microtus_ochrogaster	NCBI	79684	16	4	100.00	175.00	4	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Microtus	Microtus ochrogaster
GCF_000803125.2	GCF_000803125.2_Eukaryota_Chordata_Mammalia_Camelus_dromedarius	NCBI	9838	16	4	100.00	206.25	4	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus dromedarius
GCF_001704415.2	GCF_001704415.2_Eukaryota_Chordata_Mammalia_Capra_hircus	NCBI	9925	16	2	100.00	281.25	2	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra hircus
GCF_002007445.2	GCF_002007445.2_Eukaryota_Chordata_Mammalia_Ailuropoda_melanoleuca	NCBI	9646	16	1	100.00	331.25	1	No	Eukaryota	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca
GCF_002201575.2	GCF_002201575.2_Eukaryota_Chordata_Mammalia_Neomonachus_schauinslandi	NCBI	29088	16	1	100.00	375.00	1	No	Eukaryota	Chordata	Mammalia	Carnivora	Phocidae	Neomonachus	Neomonachus schauinslandi
GCF_002263795.2	GCF_002263795.2_Eukaryota_Chordata_Mammalia_Bos_taurus	NCBI	9913	16	5	100.00	243.75	5	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus
GCF_002776525.5	GCF_002776525.5_Eukaryota_Chordata_Mammalia_Piliocolobus_tephrosceles	NCBI	591936	16	3	100.00	325.00	3	Yes	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	Piliocolobus tephrosceles
GCF_002837175.2	GCF_002837175.2_Eukaryota_Chordata_Mammalia_Physeter_catodon	NCBI	9755	16	4	100.00	250.00	4	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Physeteridae	Physeter	Physeter catodon
GCF_002863925.1	GCF_002863925.1_Eukaryota_Chordata_Mammalia_Equus_caballus	NCBI	9796	16	6	100.00	187.50	6	Yes	Eukaryota	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus caballus
GCF_002880755.1	GCF_002880755.1_Eukaryota_Chordata_Mammalia_Pan_troglodytes	NCBI	9598	16	3	100.00	375.00	3	Yes	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
GCF_003254725.2	GCF_003254725.2_Eukaryota_Chordata_Mammalia_Canis_lupus	NCBI	286419	16	2	100.00	587.50	2	No	Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
GCF_003255815.1	GCF_003255815.1_Eukaryota_Chordata_Mammalia_Theropithecus_gelada	NCBI	9565	16	0	100.00	606.25	0	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	Theropithecus gelada
GCF_003339765.1	GCF_003339765.1_Eukaryota_Chordata_Mammalia_Macaca_mulatta	NCBI	9544	16	1	100.00	425.00	1	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
GCF_003369695.1	GCF_003369695.1_Eukaryota_Chordata_Mammalia_Bos_indicus_x_Bos_taurus	NCBI	30522	16	6	100.00	218.75	6	Yes	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus x Bos taurus
GCF_003704035.1	GCF_003704035.1_Eukaryota_Chordata_Mammalia_Peromyscus_maniculatus	NCBI	230844	16	0	100.00	268.75	0	No	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus
GCF_004115215.2	GCF_004115215.2_Eukaryota_Chordata_Mammalia_Ornithorhynchus_anatinus	NCBI	9258	16	8	100.00	106.25	8	Yes	Eukaryota	Chordata	Mammalia	Monotremata	Ornithorhynchidae	Ornithorhynchus	Ornithorhynchus anatinus
GCF_004115265.2	GCF_004115265.2_Eukaryota_Chordata_Mammalia_Rhinolophus_ferrumequinum	NCBI	59479	16	2	100.00	343.75	2	No	Eukaryota	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus ferrumequinum
GCF_004126475.2	GCF_004126475.2_Eukaryota_Chordata_Mammalia_Phyllostomus_discolor	NCBI	89673	16	0	100.00	343.75	0	No	Eukaryota	Chordata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus discolor
GCF_004664715.2	GCF_004664715.2_Eukaryota_Chordata_Mammalia_Peromyscus_leucopus	NCBI	10041	16	3	100.00	281.25	3	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus leucopus
GCF_006229205.1	GCF_006229205.1_Eukaryota_Chordata_Mammalia_Suricata_suricatta	NCBI	37032	16	6	100.00	193.75	6	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Herpestidae	Suricata	Suricata suricatta
GCF_006542625.1	GCF_006542625.1_Eukaryota_Chordata_Mammalia_Nomascus_leucogenys	NCBI	61853	16	2	100.00	325.00	2	No	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
GCF_007474595.2	GCF_007474595.2_Eukaryota_Chordata_Mammalia_Lynx_canadensis	NCBI	61383	16	3	100.00	356.25	3	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx canadensis
GCF_007565055.1	GCF_007565055.1_Eukaryota_Chordata_Mammalia_Rhinopithecus_roxellana	NCBI	61622	16	1	100.00	393.75	1	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus roxellana
GCF_008122165.1	GCF_008122165.1_Eukaryota_Chordata_Mammalia_Gorilla_gorilla	NCBI	9595	15	1	93.75	293.75	1	No	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Gorilla	Gorilla gorilla
GCF_008632895.1	GCF_008632895.1_Eukaryota_Chordata_Mammalia_Mastomys_coucha	NCBI	35658	16	4	100.00	243.75	4	Yes	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mastomys	Mastomys coucha
GCF_008692025.1	GCF_008692025.1_Eukaryota_Chordata_Mammalia_Phocoena_sinus	NCBI	42100	16	1	100.00	456.25	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena sinus
GCF_008728515.1	GCF_008728515.1_Eukaryota_Chordata_Mammalia_Papio_anubis	NCBI	9555	16	2	100.00	306.25	2	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
GCF_009762305.2	GCF_009762305.2_Eukaryota_Chordata_Mammalia_Zalophus_californianus	NCBI	9704	16	0	100.00	581.25	0	No	Eukaryota	Chordata	Mammalia	Carnivora	Otariidae	Zalophus	Zalophus californianus
GCF_009806435.1	GCF_009806435.1_Eukaryota_Chordata_Mammalia_Oryctolagus_cuniculus	NCBI	9986	16	1	100.00	506.25	1	No	Eukaryota	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus
GCF_009829155.1	GCF_009829155.1_Eukaryota_Chordata_Mammalia_Mustela_erminea	NCBI	36723	16	4	100.00	343.75	4	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela erminea
GCF_009834535.1	GCF_009834535.1_Eukaryota_Chordata_Mammalia_Camelus_ferus	NCBI	419612	16	2	100.00	281.25	2	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus ferus
GCF_009873245.2	GCF_009873245.2_Eukaryota_Chordata_Mammalia_Balaenoptera_musculus	NCBI	9771	16	1	100.00	431.25	1	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera musculus
GCF_011064425.1	GCF_011064425.1_Eukaryota_Chordata_Mammalia_Rattus_rattus	NCBI	10117	16	0	100.00	362.50	0	No	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus rattus
GCF_011100555.1	GCF_011100555.1_Eukaryota_Chordata_Mammalia_Callithrix_jacchus	NCBI	9483	16	3	100.00	656.25	3	Yes	Eukaryota	Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus
GCF_011100635.1	GCF_011100635.1_Eukaryota_Chordata_Mammalia_Trichosurus_vulpecula	NCBI	9337	16	0	100.00	975.00	0	No	Eukaryota	Chordata	Mammalia	Diprotodontia	Phalangeridae	Trichosurus	Trichosurus vulpecula
GCF_011762505.1	GCF_011762505.1_Eukaryota_Chordata_Mammalia_Arvicanthis_niloticus	NCBI	61156	16	0	100.00	362.50	0	No	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus
GCF_011762595.1	GCF_011762595.1_Eukaryota_Chordata_Mammalia_Tursiops_truncatus	NCBI	9739	16	2	100.00	375.00	2	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	Tursiops	Tursiops truncatus
GCF_012559485.2	GCF_012559485.2_Eukaryota_Chordata_Mammalia_Macaca_fascicularis	NCBI	9541	16	0	100.00	606.25	0	No	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
GCF_013052645.1	GCF_013052645.1_Eukaryota_Chordata_Mammalia_Pan_paniscus	NCBI	9597	16	2	100.00	581.25	2	No	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pan	Pan paniscus
GCF_014633375.1	GCF_014633375.1_Eukaryota_Chordata_Mammalia_Ochotona_princeps	NCBI	9978	15	2	93.75	175.00	1	No	Eukaryota	Chordata	Mammalia	Lagomorpha	Ochotonidae	Ochotona	Ochotona princeps
GCF_015220235.1	GCF_015220235.1_Eukaryota_Chordata_Mammalia_Choloepus_didactylus	NCBI	27675	16	2	100.00	393.75	1	No	Eukaryota	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus didactylus
GCF_015227675.2	GCF_015227675.2_Eukaryota_Chordata_Mammalia_Rattus_norvegicus_BN_NHsdMcwi	NCBI	10116	16	0	100.00	575.00	0	No	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus
GCF_015852505.1	GCF_015852505.1_Eukaryota_Chordata_Mammalia_Tachyglossus_aculeatus	NCBI	9261	16	7	100.00	112.50	7	Yes	Eukaryota	Chordata	Mammalia	Monotremata	Tachyglossidae	Tachyglossus	Tachyglossus aculeatus
GCF_016077325.2	GCF_016077325.2_Eukaryota_Chordata_Mammalia_Equus_asinus	NCBI	9793	16	2	100.00	268.75	2	No	Eukaryota	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus asinus
GCF_016432865.1	GCF_016432865.1_Eukaryota_Chordata_Mammalia_Antechinus_flavipes	NCBI	38775	16	4	100.00	150.00	4	Yes	Eukaryota	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	Antechinus flavipes
GCF_016433145.1	GCF_016433145.1_Eukaryota_Chordata_Mammalia_Gracilinanus_agilis	NCBI	191870	16	4	100.00	281.25	3	Yes	Eukaryota	Chordata	Mammalia	Didelphimorphia	Didelphidae	Gracilinanus	Gracilinanus agilis
GCF_016509475.1	GCF_016509475.1_Eukaryota_Chordata_Mammalia_Prionailurus_bengalensis	NCBI	37029	16	3	100.00	350.00	3	Yes	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Prionailurus	Prionailurus bengalensis
GCF_016772045.1	GCF_016772045.1_Eukaryota_Chordata_Mammalia_Ovis_aries_OAR_USU_Benz2616_breed=Rambouillet	NCBI	9940	16	2	100.00	693.75	2	No	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Ovis	Ovis aries
