assembly_id	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000002515.2	15	3	93.75	87.50
GCF_000002765.4	16	4	100.00	118.75
GCF_000002725.2	15	0	93.75	162.50
GCF_000026945.1	15	4	93.75	75.00
GCF_000091025.4	15	3	93.75	81.25
GCF_000090985.2	16	2	100.00	168.75
GCF_000091205.1	16	10	100.00	37.50
GCF_000092065.1	16	8	100.00	75.00
GCF_000143535.2	15	3	93.75	81.25
GCF_000196675.1	13	12	81.25	12.50
GCF_000226095.1	14	4	87.50	62.50
GCF_000226115.1	15	3	93.75	75.00
GCF_000739085.1	14	13	87.50	12.50
GCF_000740895.1	16	5	100.00	87.50
GCF_001417885.1	14	3	87.50	75.00
GCF_001457455.1	14	12	87.50	12.50
GCF_001640025.1	14	7	87.50	50.00
